"1","AGILE","2","PLANETS","Earth","16","Particle Physics","158","X-ray Detector",,"5","unknown"
"1","AGILE","2","PLANETS","Earth","16","Particle Physics","159","Gamma Radiation Detector",,"5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","7","Interstellar Medium","5","ULEIS","Ultra Low Energy Isotope Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","11","Solar Physics","5","ULEIS","Ultra Low Energy Isotope Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","16","Particle Physics","5","ULEIS","Ultra Low Energy Isotope Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","7","Interstellar Medium","6","SIS","Solar Isotope Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","11","Solar Physics","6","SIS","Solar Isotope Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","16","Particle Physics","6","SIS","Solar Isotope Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","7","Interstellar Medium","7","SEPICA","Solar Energetic Particle Isotope Charge Analyzerr","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","11","Solar Physics","7","SEPICA","Solar Energetic Particle Isotope Charge Analyzerr","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","16","Particle Physics","7","SEPICA","Solar Energetic Particle Isotope Charge Analyzerr","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","7","Interstellar Medium","8","EPAM","Electron, Proton & Alpha Monitor","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","11","Solar Physics","8","EPAM","Electron, Proton & Alpha Monitor","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","16","Particle Physics","8","EPAM","Electron, Proton & Alpha Monitor","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","7","Interstellar Medium","10","SWICS","Solar Wind Ion Composition Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","11","Solar Physics","10","SWICS","Solar Wind Ion Composition Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","16","Particle Physics","10","SWICS","Solar Wind Ion Composition Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","7","Interstellar Medium","11","SWIMS","Solar Wind Ion Mass Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","11","Solar Physics","11","SWIMS","Solar Wind Ion Mass Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","16","Particle Physics","11","SWIMS","Solar Wind Ion Mass Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","7","Interstellar Medium","12","SWEPAM","Solar Wind Electron Proton & Alpha Monitor","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","11","Solar Physics","12","SWEPAM","Solar Wind Electron Proton & Alpha Monitor","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","16","Particle Physics","12","SWEPAM","Solar Wind Electron Proton & Alpha Monitor","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","7","Interstellar Medium","13","CRIS","Cosmic Ray Isotope Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","11","Solar Physics","13","CRIS","Cosmic Ray Isotope Spectrometer","5","unknown"
"2","Advanced Composition Explorer (ACE)","45","SUN","SUN","16","Particle Physics","13","CRIS","Cosmic Ray Isotope Spectrometer","5","unknown"
"3","Rosetta","31","SMALL BODIES","Comets","55","Comets","146","ALICE ","(an ultraviolet imaging spectrograph)","87","unlock the secrets of how our solar system looked before planets formed.     * Characterisation of the nucleus     * Determination of the chemical compounds present, including enantiomers     * Study of comet activities and developments over time."
"3","Rosetta","31","SMALL BODIES","Comets","55","Comets","146","ALICE ","(an ultraviolet imaging spectrograph)","88","search for the abundance of noble gas in the comet core"
"3","Rosetta","31","SMALL BODIES","Comets","55","Comets","147","OSIRIS","(Optical, Spectroscopic, and Infrared Remote Imaging System)","81","Observations of the comet 67P's nucleus and coma"
"3","Rosetta","31","SMALL BODIES","Comets","55","Comets","148","VIRTIS ","(Visible and Infrared Thermal Imaging Spectrometer)","81","Observations of the comet 67P's nucleus and coma"
"3","Rosetta","31","SMALL BODIES","Comets","55","Comets","149","MIRO","(Microwave Instrument for the Rosetta Orbiter)","81","Observations of the comet 67P's nucleus and coma"
"3","Rosetta","31","SMALL BODIES","Comets","55","Comets","151","ROSINA"," (Rosetta Orbiter Spectrometer for Ion and Neutral Analysis)","81","Observations of the comet 67P's nucleus and coma"
"3","Rosetta","31","SMALL BODIES","Comets","55","Comets","152","MIDAS ","(Micro-Imaging Dust Analysis System)","81","Observations of the comet 67P's nucleus and coma"
"3","Rosetta","31","SMALL BODIES","Comets","55","Comets","154","GIADA (Grain Impact Analyser and Dust Accumulator) and RPC (Rosetta Plasma Consortium)","Solarwind interaction","81","Observations of the comet 67P's nucleus and coma"
"4","Mars Express","3","PLANETS","Mars","3","Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)","111","HRSC","High Resolution Stereo Camera ","82","Study Mars' Atmosphere and Surface"
"4","Mars Express","3","PLANETS","Mars","25","Climate Studies","111","HRSC","High Resolution Stereo Camera ","82","Study Mars' Atmosphere and Surface"
"5","Cassini-Huygens","5","PLANETS","Saturn","3","Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)","156","Radar Altmeter",,"2","Satellites"
"5","Cassini-Huygens","38","PLANETS","RINGS","3","Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)","156","Radar Altmeter",,"2","Satellites"
"5","Cassini-Huygens","39","PLANETS/Saturn","Saturn Rings","3","Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)","156","Radar Altmeter",,"2","Satellites"
"5","Cassini-Huygens","48","PLANETS","SATELLITES","3","Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)","156","Radar Altmeter",,"2","Satellites"
"5","Cassini-Huygens","52","PLANETS/Saturn","Saturn Satellites","3","Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)","156","Radar Altmeter",,"2","Satellites"
"6","Bepicolumbo","53","PLANETS","Mercury","3","Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)","112","MERMAG","Mercury Magnetometer","1","Magnetospheres"
"6","Bepicolumbo","53","PLANETS","Mercury","3","Key Area 3 (Airless bodies in the solar system: Moon, Mercury, Galilean satellites)","112","MERMAG","Mercury Magnetometer","3","Atmospheres"
"6","Bepicolumbo","53","PLANETS","Mercury","12","Geodesy","112","MERMAG","Mercury Magnetometer","1","Magnetospheres"
"6","Bepicolumbo","53","PLANETS","Mercury","12","Geodesy","112","MERMAG","Mercury Magnetometer","3","Atmospheres"
"6","Bepicolumbo","53","PLANETS","Mercury","23","Magnetospheric Physics","112","MERMAG","Mercury Magnetometer","1","Magnetospheres"
"6","Bepicolumbo","53","PLANETS","Mercury","23","Magnetospheric Physics","112","MERMAG","Mercury Magnetometer","3","Atmospheres"
"6","Bepicolumbo","53","PLANETS","Mercury","25","Climate Studies","112","MERMAG","Mercury Magnetometer","1","Magnetospheres"
"6","Bepicolumbo","53","PLANETS","Mercury","25","Climate Studies","112","MERMAG","Mercury Magnetometer","3","Atmospheres"
"7","Cluster","2","PLANETS","Earth","4","Atmospheric Physics","24","Cluster II",,"1","Magnetospheres"
"7","Cluster","2","PLANETS","Earth","4","Atmospheric Physics","24","Cluster II",,"4","Aurorae"
"7","Cluster","2","PLANETS","Earth","4","Atmospheric Physics","24","Cluster II",,"6","Polar Cusps"
"7","Cluster","2","PLANETS","Earth","4","Atmospheric Physics","24","Cluster II",,"7","Solar Winds"
"7","Cluster","2","PLANETS","Earth","4","Atmospheric Physics","24","Cluster II",,"8","Sun-Earth Interaction"
"7","Cluster","2","PLANETS","Earth","4","Atmospheric Physics","24","Cluster II",,"9","Space Plasma Physics"
"7","Cluster","2","PLANETS","Earth","23","Magnetospheric Physics","24","Cluster II",,"1","Magnetospheres"
"7","Cluster","2","PLANETS","Earth","23","Magnetospheric Physics","24","Cluster II",,"4","Aurorae"
"7","Cluster","2","PLANETS","Earth","23","Magnetospheric Physics","24","Cluster II",,"6","Polar Cusps"
"7","Cluster","2","PLANETS","Earth","23","Magnetospheric Physics","24","Cluster II",,"7","Solar Winds"
"7","Cluster","2","PLANETS","Earth","23","Magnetospheric Physics","24","Cluster II",,"8","Sun-Earth Interaction"
"7","Cluster","2","PLANETS","Earth","23","Magnetospheric Physics","24","Cluster II",,"9","Space Plasma Physics"
"7","Cluster","2","PLANETS","Earth","35","Space Plasma Physics","24","Cluster II",,"1","Magnetospheres"
"7","Cluster","2","PLANETS","Earth","35","Space Plasma Physics","24","Cluster II",,"4","Aurorae"
"7","Cluster","2","PLANETS","Earth","35","Space Plasma Physics","24","Cluster II",,"6","Polar Cusps"
"7","Cluster","2","PLANETS","Earth","35","Space Plasma Physics","24","Cluster II",,"7","Solar Winds"
"7","Cluster","2","PLANETS","Earth","35","Space Plasma Physics","24","Cluster II",,"8","Sun-Earth Interaction"
"7","Cluster","2","PLANETS","Earth","35","Space Plasma Physics","24","Cluster II",,"9","Space Plasma Physics"
"7","Cluster","2","PLANETS","Earth","36","Sun-Earth Interaction","24","Cluster II",,"1","Magnetospheres"
"7","Cluster","2","PLANETS","Earth","36","Sun-Earth Interaction","24","Cluster II",,"4","Aurorae"
"7","Cluster","2","PLANETS","Earth","36","Sun-Earth Interaction","24","Cluster II",,"6","Polar Cusps"
"7","Cluster","2","PLANETS","Earth","36","Sun-Earth Interaction","24","Cluster II",,"7","Solar Winds"
"7","Cluster","2","PLANETS","Earth","36","Sun-Earth Interaction","24","Cluster II",,"8","Sun-Earth Interaction"
"7","Cluster","2","PLANETS","Earth","36","Sun-Earth Interaction","24","Cluster II",,"9","Space Plasma Physics"
"7","Cluster","2","PLANETS","Earth","37","Space Weather","24","Cluster II",,"1","Magnetospheres"
"7","Cluster","2","PLANETS","Earth","37","Space Weather","24","Cluster II",,"4","Aurorae"
"7","Cluster","2","PLANETS","Earth","37","Space Weather","24","Cluster II",,"6","Polar Cusps"
"7","Cluster","2","PLANETS","Earth","37","Space Weather","24","Cluster II",,"7","Solar Winds"
"7","Cluster","2","PLANETS","Earth","37","Space Weather","24","Cluster II",,"8","Sun-Earth Interaction"
"7","Cluster","2","PLANETS","Earth","37","Space Weather","24","Cluster II",,"9","Space Plasma Physics"
"7","Cluster","2","PLANETS","Earth","38","Solar Wind Interaction","24","Cluster II",,"1","Magnetospheres"
"7","Cluster","2","PLANETS","Earth","38","Solar Wind Interaction","24","Cluster II",,"4","Aurorae"
"7","Cluster","2","PLANETS","Earth","38","Solar Wind Interaction","24","Cluster II",,"6","Polar Cusps"
"7","Cluster","2","PLANETS","Earth","38","Solar Wind Interaction","24","Cluster II",,"7","Solar Winds"
"7","Cluster","2","PLANETS","Earth","38","Solar Wind Interaction","24","Cluster II",,"8","Sun-Earth Interaction"
"7","Cluster","2","PLANETS","Earth","38","Solar Wind Interaction","24","Cluster II",,"9","Space Plasma Physics"
"7","Cluster","2","PLANETS","Earth","39","Earth's Magnetic Environment","24","Cluster II",,"1","Magnetospheres"
"7","Cluster","2","PLANETS","Earth","39","Earth's Magnetic Environment","24","Cluster II",,"4","Aurorae"
"7","Cluster","2","PLANETS","Earth","39","Earth's Magnetic Environment","24","Cluster II",,"6","Polar Cusps"
"7","Cluster","2","PLANETS","Earth","39","Earth's Magnetic Environment","24","Cluster II",,"7","Solar Winds"
"7","Cluster","2","PLANETS","Earth","39","Earth's Magnetic Environment","24","Cluster II",,"8","Sun-Earth Interaction"
"7","Cluster","2","PLANETS","Earth","39","Earth's Magnetic Environment","24","Cluster II",,"9","Space Plasma Physics"
"7","Cluster","45","SUN","SUN","4","Atmospheric Physics","24","Cluster II",,"1","Magnetospheres"
"7","Cluster","45","SUN","SUN","4","Atmospheric Physics","24","Cluster II",,"4","Aurorae"
"7","Cluster","45","SUN","SUN","4","Atmospheric Physics","24","Cluster II",,"6","Polar Cusps"
